sku_id,sku_name,vendor_id,category
SKU-001,Fresh Pasta - Spinach Fettuccine 12oz,VEN-101,Prepared Foods
SKU-002,Marinara Sauce 16oz Jar,VEN-103,Grocery
SKU-003,Sparkling Water 12oz Can,VEN-105,Beverage
SKU-004,Almonds 10oz Stand-up Pouch,VEN-107,Grocery
SKU-005,Salsa Verde 12oz Jar,VEN-103,Grocery
SKU-006,Organic Peanut Butter 16oz,VEN-107,Grocery
SKU-007,Granola 12oz Pouch,VEN-104,Grocery
SKU-008,Cold Brew 12oz Bottle,VEN-106,Beverage
SKU-009,Yogurt 6oz Cup,VEN-103,Dairy
SKU-010,Tomato Soup 10oz Can,VEN-107,Grocery
SKU-011,Olive Oil 500ml,VEN-108,Grocery
SKU-012,BBQ Sauce 18oz Squeeze,VEN-107,Grocery
SKU-013,Dried Mango 8oz Pouch,VEN-104,Grocery
SKU-014,Herbal Tea 20ct Carton,VEN-106,Grocery
SKU-015,Tomato Sauce 24oz Jar,VEN-103,Grocery
SKU-016,Trail Mix 10oz Pouch,VEN-104,Grocery
SKU-017,Artisan Pickles 24oz Jar,VEN-108,Grocery
SKU-018,Cold-Pressed Juice 12oz Bottle,VEN-106,Beverage
SKU-019,Whole Bean Coffee 12oz Bag,VEN-104,Grocery
SKU-020,Pasta Sauce 25oz Jar,VEN-103,Grocery
